event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-29 12:51:36 UTC,2298014487472505625,1515966223509090092,2268105406549066706,computers.peripherals.mouse,logitech,77.52,1515915625445675883
2020-04-29 12:51:50 UTC,2298014603872830244,1515966223509283414,2268105654591816244,,maxwell,6.92,1515915625452183601
2020-04-29 12:51:50 UTC,2298014603872830244,1515966223509089420,2268105406549066706,computers.peripherals.mouse,,5.07,1515915625452183601
2020-04-29 12:51:50 UTC,2298014603872830244,1515966223509261693,2268105438702600852,,maestro,3.68,1515915625452183601
2020-04-29 12:59:41 UTC,2298018560376570085,1515966223509090205,2268105441856717530,appliances.kitchen.kettle,vitek,20.81,1515915625452211455
2020-04-29 12:59:46 UTC,2298018598116917482,1515966223509104973,2268105428250395064,electronics.telephone,panasonic,29.14,1515915625452200691
2020-04-29 13:02:59 UTC,2298020220926689678,1515966223509090011,2268105428166508982,electronics.smartphone,samsung,138.87,1515915625452094662
2020-04-29 13:03:18 UTC,2298020380796780966,1515966223509089955,2268105441009468104,appliances.kitchen.meat_grinder,moulinex,57.85,1515915625444057633
2020-04-29 13:04:58 UTC,2298021217040335364,1515966223509127692,2268105430162997728,electronics.audio.headphone,sony,9.24,1515915625452214059
2020-04-29 13:11:48 UTC,2298024655925019493,1515966223509336023,2268105393035018958,,bork,391.18,1515915625452171015
2020-04-29 13:14:34 UTC,2298026047444091877,1515966223509127491,2268105393035018958,,polaris,46.27,1515915625451933302
2020-04-29 13:14:42 UTC,2298026113470825457,2273948219543126283,2268105402556089218,appliances.personal.hair_cutter,imetec,20.81,1515915625451952331
2020-04-29 13:15:08 UTC,2298026333160079366,1515966223509259935,2268105430162997728,electronics.audio.headphone,panasonic,3.45,1515915625441631626
2020-04-29 13:16:35 UTC,2298027060855046228,1515966223509299636,2268105428502053310,,sjcam,157.38,1515915625452213479
2020-04-29 13:16:55 UTC,2298027230749524074,1515966223509258997,2268105654591816244,,maxwell,8.08,1515915625452209496
2020-04-29 13:17:16 UTC,2298027408663511168,1515966223510206441,2268105446034244402,,,2.52,1515915625513724970
2020-04-29 13:20:23 UTC,2298028973541556521,1515966223509089262,2268105403822769052,,braun,42.80,1515915625452219882
2020-04-29 13:23:08 UTC,2298030363735228851,1515966223509612203,2268105392925967052,appliances.environment.air_heater,ava,11.55,1515915625451561768
2020-04-29 13:23:35 UTC,2298030589137125829,1515966223509104096,2268105458717818950,,sony,19.88,1515915625449597788
2020-04-29 13:27:58 UTC,2298032794787381933,1515966223509088650,2268105407220155366,computers.notebook,lenovo,479.14,1515915625452207777
2020-04-29 13:28:03 UTC,2298032832309625523,1515966223509259004,2268105440640369344,,redmond,16.18,1515915625452220622
2020-04-29 13:29:25 UTC,2298033523732251384,2273948232075706577,2268105406549066706,computers.peripherals.mouse,,20.35,1515915625441017719
2020-04-29 13:29:33 UTC,2298033587376620288,1515966223509105283,2268105428166508982,electronics.smartphone,xiaomi,148.82,1515915625452214898
2020-04-29 13:31:17 UTC,2298034461511517018,2273948309552889991,2268105464925389002,kids.skates,globber,138.63,1515915625452201337
2020-04-29 13:31:33 UTC,2298034599193740139,1515966223509089762,2268105389956399770,appliances.kitchen.washer,samsung,451.37,1515915625441412841
2020-04-29 13:31:33 UTC,2298034599193740139,2273948254808834551,2268105441101742794,appliances.kitchen.blender,,74.05,1515915625441412841
2020-04-29 13:31:33 UTC,2298034599193740139,1515966223509298620,2268105441009468104,appliances.kitchen.meat_grinder,philips,115.72,1515915625441412841
2020-04-29 13:31:33 UTC,2298034599193740139,1515966223509260303,2268105442636858090,furniture.kitchen.table,,23.13,1515915625441412841
2020-04-29 13:31:33 UTC,2298034599193740139,1515966223509259922,2268105442636858090,furniture.kitchen.table,rondell,20.81,1515915625441412841
2020-04-29 13:31:33 UTC,2298034599193740139,1515966223509123098,2268105439247860386,appliances.kitchen.microwave,samsung,122.66,1515915625441412841
2020-04-29 13:31:55 UTC,2298034778315686781,2273948184998838548,2268105441101742794,appliances.kitchen.blender,polaris,32.38,1515915625452149364
2020-04-29 13:34:17 UTC,2298035974564742130,1515966223510206745,2309018576985522845,,iqos,8.10,1515915625452075251
